,0
s0003687014000271,"•No previous study has systematically examined the effects of protruding nose lengths (PNL).•We collected body postures and subjective ratings under 5 seat PNLs ×2 handle heights conditions.•Different PNLs affected only the trunk angle, and did not affect the other body angles.•The handle and the PNL variables had varying effects on the degree of pelvic tilt.•When PNL = 6 cm, discomfort was more acceptable and stability was also sufficient for the riders."
s0003687014000283,•The prevalence of reduced demand-specific work ability ranged from 9% to 21%.•Depression was associated with six measures of reduced demand-specific work ability.•Musculoskeletal pain was associated with four measures of reduced demand-specific work ability.•Poor health and working conditions did not interact regarding reduced demand-specific work ability.
s0003687014000295,"•Baby Boomer and Generation-Y adults sat in four vehicles and chose their preferred hand placement.•Height was significantly correlated with grip diameter preference and 3.2 cm was the most popular.•Hand placement was correlated with height, with shorter adults using an asymmetrical grip.•Hand placement location varies by vehicle and age group.•Future research should consider more controlled conditions and simulator or on road studies."
s0003687014000301,•Glove design 1 and barehanded produced higher handgrip strength than double gloves.•Glove design 1 and the bare hand condition had better dexterity than double gloves.•Selective thickness over some hand areas can be applied to improve the glove design.
s0003687014000313,"•The three experiments were conducted to identify the participants' decision for gestures of each command.•As a result, 66% of the top gestures between the two experiments were different.•Also, the selected gestures of the third experiment were similar to those from the second experiment."
s0003687014000325,"•Ergonomics can be actively influential within the organization on issues relating to work improvements, caused by sustainability policies.•Into sustainability policies, ergonomics may boost integrated increases in the organization's performance and in workers' well-being.•Ergonomics can provide support for changes and new sustainability-related work requirements to be considered.•Ergonomics can contribute to the definition of the concept of work in a context of sustainable development."
s0003687014000350,•We evaluated the efficacy of a cycling workstation to increase energy expenditure.•Pedaling while typing substantially increased metabolic cost.•Pedaling while typing did not alter typing time or number of typing errors.•Cycling workstation can facilitate physical activity without compromising typing.
s0003687014000362,"•Carrying appointments on a load bearing vest reduces police officer subjective in-vehicle discomfort.•Vehicle seat backrest bolsters, lumbar region and seat cushion affect discomfort of police officers.•Police vehicle purchasers are encouraged to seek seats encompassing high degrees of adjustability."
s0003687014000374,•An easily applicable subjective hand-arm vibration assessment tool was presented.•The assessment tool was developed for occupational safety and health practitioners.•The tool is found to be fairly reliable among observers and moderately valid.•The tool can be of use in future research and in field-based ergonomic assessments.
s0003687014000398,•This cross-sectional evaluation offers detailed exposure measures of each participant.•A multipart case definition that included nerve conduction testing was utilized.•Increasing levels of hand activity and force were associated with increased CTS prevalence among participants.•This evaluation demonstrates the need to reduce employee exposure to levels of hand activity and force.
s0003687014000404,•Severly limited data may force anthropometric modeling based on adding percentiles.•Adding percentiles is shown to assume a perfect correlation between variables.•A method superior to adding percentiles is demonstrated.•The method is applicable when the correlation between variables is unknown.•The method is applicable when the distribution of the data is unknown.
s0003687014000416,"•High levels of discomfort were reported in the neck, shoulders and lower body.•Almost 40% of the electricians' days were spent working at height.•Cycle times of activities on MEWPs were double that, on average, than on ladders.•Working on a MEWP did not affect task performance or discomfort.•Shoulder muscle activity was lower for select tasks on the MEWP than ladder."
s0003687014000428,•Trunk biomechanics was assessed during sudden loading events.•Smaller spinal loading was observed with the decrease of load handling height.•Holding load 45° to the side resulted in smaller peak spinal compression.•Clear interaction effect between load handling height and asymmetry was revealed.
s000368701400043x,•Typing biomechanics were compared between one virtual and two conventional keyboards.•Finger flexor and extensor muscle activity was lower during the virtual keyboard use.•Typing productivity and self-reported comfort declined during the virtual keyboard use.
s0003687014000441,"•We compare current and modified police cruiser restraint cage configurations.•Bilateral shoulder discomfort was reduced while typing directly in front of the body.•Location of the laptop in front of the user allows more neutral shoulder postures.•Reduced discomfort is likely driven by postures, not muscle demands.•Reduced discomfort results may have implications for future police car designs."
s0003687014000453,•We propose an individualized fuzzy model for the estimation of VO2 using HR measurements.•We propose an individualized analytical model to estimate VO2 using HR measurements.•We propose a general fuzzy model that does not require individual calibration for VO2 estimation of groups of workers.
s0003687014000465,•Seat cushions affect vibration discomfort at the seat pan and the backrest.•SEAT values show how cushions modify overall vibration discomfort.•Predictions of vibration discomfort need adjustment for backrest inclination.
s0003687014000477,•The subjective response to hospital ward sound was explored.•Laboratory evaluation explored ‘positive’ sound interventions.•Natural sound and written sound source information were most effective.•Future work can explore if this can contribute to positively experienced environments.
s0003687014000489,•We explore the impact of clothing on the thermoregulatory responses.•A moisture-wicking shirt lowers core temperature during exercise in the heat.•Cotton shirts have higher regain properties than moisture-wicking fabric shirts.•Shirts with higher air permeability can aid in lowering core temperature.•Differing shirt characteristics do not alter the perceptual responses to exercise.
s0003687014000490,"•A novel approach was developed to determine the air gap in protective clothing.•Both the overall and local air gap distributions were analyzed.•The air gap unevenly distributed over the body with the largest air gap in legs.•The air gap depended on the body parts, fabric properties, and garment size."
s0003687014000507,"•Two cooling systems were tested under a firefighter suit, exercising in the heat.•The systems featured cooled pads or a cold water perfusion system.•The cool pads initially improved thermal sensation, the perfused system continually.•Neither system reduced core temperature, heart rate, perceived exertion or comfort.•The tested cooling systems did not meet the cooling expectations."
s0003687014000519,"•We study metabolic rate required to carry a mass at ankle, knee and back.•Equations for determining the metabolic rate of carrying mass at ankle, knee, back.•Compared to previously reported equations, ours were 7% to 69% more accurate.•Metabolic rate for mass at a distal location is higher than at a proximal location.•Unlike on the back, leg mass cannot be modeled as an increase in body mass."
s0003687014000660,•Evidence regarding the performance of Ergonomics methods is often not forthcoming.•We evaluated the reliability and validity of the Strategies Analysis Diagram method.•Individual results were average. Pooled group results were significantly better.•A structured multi-analyst approach is proposed for the Strategies Analysis Diagram.
s0003687013001270,"•Musculoskeletal complaints were common among schoolchildren, with girls being more likely to report symptoms than boys.•The relative schoolbag weight (% body weight) was associated with neck and shoulder complaints.•The type of schoolbag was associated with low back complaints.•Adolescents with neck pain carried their schoolbags for a longer period of time each day.•Gender differences may need to be considered when setting weight limits for schoolchildren."
s0003687013001336,•Firefighters performed simulated occupational lifting tasks in a laboratory setting.•Low-back loading was compared between firefighters who scored above and below 14 on FMS.•No differences detected in peak low-back loading magnitudes between low- and high-scorers.•Lumbar spines of low-scorers tended to be more flexed when peak loads were applied.•The “margin of safety” may be lower in firefighters who score below 14 on the FMS.
s0003687013001439,"•Two independent samples of farmers surveyed.•Count data regression techniques used.•Aspects of workplace satisfaction related to quad bike loss-of-control events.•Psychological demand, employment status and sex linked with quad bike LCEs."
s0003687013002202,"•This study highlights the value and difficulties of longitudinal nursing research.•Control over shift scheduling can have significant effects on fatigue for both two-shift and three-shift workers.•Fatigue increased over time when there was a lack of control over rosters.•A positive team climate reduces fatigue for 2-shift but not 3-shift workers.•Work life conflict was the strongest predictor of concurrent fatigue, but not over time."
s0003687013002706,•As guideline for design of context adaptive driver information systems or for optimization of display space.•As a weight when evaluating future adaptive information systems.•When deciding whether a function should be activated automatically or manually.
s0003687014000179,•Relationships between elements of affective design on floor tiles are analyzed.•The meanings given to the product can cause the generation of emotions.•Both meanings and emotions give rise to product preferences.•Functional meanings are less influential on emotions and preferences.•Personal values can modify the relationship between meanings and preferences.
s0003687014000192,"•Personas are representations of users, applied to avoid design in isolation.•The aim was to demonstrate a rigorous, grounded process of constructing personas.•Checking the content resulted in disparate, possibly incommensurable, views.•The personas were useful in supporting the elicitation of professional knowledge."
s0003687014000209,"•Functional capacity and work demands can be matched in most instances for a varying group of workers.•Normative values for functional capacity are validated and compared to direct workload measurements.•Normative values can be considered as an efficient tool in clinical decision making, although restrictions apply.•Comparing functional capacity to normative values enables clinicians to screen for imbalances between work load and capacityt."
s0003687014000349,"•Effect of lane change predictability on lane change task (LCT) performance was tested.•Lane change position and the required response where manipulated.•Lower predictability resulted in substantial performance degradation.•However, the overall pattern of results was unaffected.•Results support the validity of the LCT as a method to assess driver distraction."
