,0
s000368701300118x,"Pictorials can aid in communicating warning information, but viewers may not always correctly comprehend them. Two experiments focused on whether the use of relevant highlighting could benefit pictorial comprehension. A set of warning-related pictorials were manipulated according to three-color highlighting conditions: highlighting areas more relevant to correct comprehension, highlighting areas less relevant to comprehension, and no highlighting. Participants were asked to describe the purpose and meaning of each pictorial presented to them. The findings from both experiments indicate that comprehension of warning pictorials is higher for the relevant highlighting condition than the other two conditions. The highlighting of less relevant areas reduced comprehension compared to no highlighting. Use of appropriately placed highlighting could benefit the design of a complex symbol by pointing out pertinent areas to aid in determining its intended conceptual meaning."
s0003687013001208,"Manufacturers of interactive medical devices, such as infusion pumps, need to ensure that devices minimise the risk of unintended harm during use. However, development teams face challenges in incorporating Human Factors. The aim of the research reported here was to better understand the constraints under which medical device design and development take place. We report the results of a qualitative study based on 19 semi-structured interviews with professionals involved in the design, development and deployment of interactive medical devices. A thematic analysis was conducted. Multiple barriers to designing for safety and usability were identified. In particular, we identified barriers to communication both between the development organisation and the intended users and between different teams within the development organisation. We propose the use of mediating representations. Artefacts such as personas and scenarios, known to provide integration across multiple perspectives, are an essential component of designing for safety and usability."
s000368701300121x,"This article presents a comparative analysis of easy-to-use methods for assessing musculoskeletal load and the risk for developing musculoskeletal disorders. In all such methods, assessment of load consists in defining input data, the procedure and the system of assessment. This article shows what assessment steps the methods have in common; it also shows how those methods differ in each step. In addition, the methods are grouped according to their characteristic features. The conclusion is that the concepts of assessing risk in different methods can be used to develop solutions leading to a comprehensive method appropriate for all work tasks and all parts of the body. However, studies are necessary to verify the accepted premises and to introduce some standardization that would make consolidation possible."
s0003687013001221,"This contribution to the Ken D. Eason special issue is an illustration of the value of socio-technical analysis applied at an organizational level. We provide a brief historical overview of socio-technical IS research and review studies investigating the impact of IT on organizational structures in the last five decades, identifying a dominating (new) research theme in each decade. A key overall impact of IT in all decades has been a dramatic decrease in transaction costs making it increasingly easier for organizations to source from external providers. A five level taxonomy of sourcing arrangement is developed together with a framework of organizational activities, and a number of significant cases are offered of how organizations are sourcing practically all types of business processes, including innovation. We argue that future IT will further accelerate the movement towards more sourcing, eventually leading to a new type of organization that we call the Ambient organization."
s0003687013001257,"Ten men (non-firefighters) completed a 110 min walking/recovery protocol (three 20-min exercise bouts, with recovery periods of 10, 20, and 20 min following successive bouts) in a thermoneutral laboratory while wearing firefighting personal protective equipment over one of four base layers: cotton, modacrylic, wool, and phase change material. There were no significant differences in changes in heart rate, core temperature, rating of perceived exertion, thermal discomfort, and thermal strain among base layers. Sticking to skin, coolness/hotness, and clothing humidity sensation were more favorable (p < 0.05) for wool compared with cotton; no significant differences were identified for the other 7 clothing sensations assessed. Separate materials performance testing of the individual base layers and firefighting ensembles (base layer + turnout gear) indicated differences in thermal protective performance and total heat loss among the base layers and among ensembles; however, differences in heat dissipation did not correspond with physiological responses during exercise or recovery."
s0003687013001269,"The repetitive and excessive workload accompanying grip strength- or hand-intensive tasks are often considered to be common causes of work-related upper limb musculoskeletal disorders. For this reason, numerous experimental studies have been performed on maximum grip strength. However, due to an absence of standard guidelines, researchers have adopted different resting times and number of trials suited for their particular research purposes. The effects of resting time and the number of trials on the maximum total grip strength and individual finger forces of 24 participants over 20 trials were investigated. Results showed that the total grip strength and individual finger strengths differed significantly according to the resting time and the number of trials (p < 0.05). Overall, grip strength tended to increase with a reduction in resting time (% reduction: 7.8%, 9.1%, 11.1%, and 13.0% for 3 min, 2 min, 1 min, and 30 s resting time, respectively) as well as with an increase in the number of trials (% reduction: 8%, 10%, 13%, and 16% for 5th, 10th, 15th, and 20th trials). The effects of resting time and the number of trials also showed statistically significant effects on individual finger forces. Regression equations of total grip strength and finger forces with resting time and number of trials were established. These equations were then applied to formulate guidelines for appropriate resting times in experiments based on the number of trials and acceptable reductions in grip strength. Data from this and future studies regarding decreasing grip strength and the contribution of each finger are expected to form the groundwork for ergonomic hand tool design and development."
s0003687013001282,"The biomechanical benefits (e.g., muscular activity) of slanted ergonomic mice have been comprehensively identified; however, their effects on task performance and subjective responses have not been fully investigated. The present study examined the effects of two slanted mice (slant angle = 30° and 50°) in comparison with a conventional mouse (slant angle = 0°) in terms of task performance (task completion time and error rate) and subjective responses (perceived discomfort score and overall satisfaction score). Experimental results showed that all of the task and subjective measures worsened as the slant angle of the target mice increases. For example, the task completion time (unit: ms) and overall satisfaction score (unit: point) of the 30° slanted mouse (time = 0.71, satisfaction = −0.09) and 50° slanted mouse (time = 0.73, satisfaction = −0.79) significantly deteriorated than the conventional mouse (time = 0.65, satisfaction = 1.21). The slanted mice seem to compromise biomechanical benefits with task performance and subjective responses."
s0003687013001294,"Firefighters perform many tasks which require a high level of fitness and their personal safety may be compromised by the physiological aging process. The aim of the study was to evaluate strength (bench-press), power (countermovement jump), sprint (20 m) and endurance (with and without Self Contained Breathing Apparatus – S.C.B.A.) of 161 Italian firefighters recruits in relation to age groups (<25 yr; 26–30 yr; 31–35 yr; 36–40 yr; 41–42 yr). Descriptive statistics and an ANOVA were calculated to provide the physical fitness profile for each parameter and to assess differences (p < 0.05) among age groups. Anthropometric values showed an age-effect for height and BMI, while performances values showed statistical differences for strength, power, sprint tests and endurance test with S.C.B.A. Wearing the S.C.B.A., 14% of all recruits failed to complete the endurance test. We propose that the firefighters should participate in an assessment of work capacity and specific fitness programs aimed to maintain an optimal fitness level for all ages."
s0003687013001300,"Rail operations are housed inside a complex and extremely dynamic system where work is distributed in time and space. The train driver has traditionally relied on their own decisions, plans, and actions to navigate the rail environment, but the use of modern driver systems that force how these activities are regulated has altered this dynamic. This paper reports the findings of a study that set out to investigate the skills of modern (enhanced display-based) and traditional (real world) train driving. Data were collected from a variety of UK domain experts (n = 45) using an innovative methodology that converged multiple techniques for knowledge elicitation and analysis. The findings are represented in a model of dynamic train control and discussed according to the specific features and nature of tracking skill in the rail domain. The utility of the model is demonstrated through work of its application to the design of a train simulator and research tool for systematic study of rail human factor issues."
s0003687013001312,"Researchers have suggested that operator training may improve operator reactions; however, researchers have not documented this for alarm reactions. The goal of this research was to train participants to react to alarms using sensor activity patterns. In Experiment 1, 80 undergraduates monitored a simulated security screen while completing a primary word search task. They received spatial, temporal, single sensor, or no training to respond to alarms of differing reliability levels. Analyses revealed more appropriate and quicker reactions when participants were trained and when the alarms were reliable. In Experiment 2, 56 participants practiced time estimation by simple repetition, performance feedback, or performance feedback and temporal subdivision. They then reacted to alarms based on elapsed time between sensor activity and alarm onset. Surprisingly, results indicated that participants did not benefit differentially from temporal interval training, focusing instead on advertised system reliability. Researchers should replicate these findings with realistic tasks and real-world complex task operators."
s0003687013001324,"Thirty manual material handlers (15 experts and 15 novices) were invited to perform series of box transfers under conditions similar to those of large distribution centers. The objective of the present study was to verify whether multiple box transfers leading to fatigue would also lead to differences between expert and novice workers in joint motions and in back loading variables (L5/S1 moments). The task consisted in transferring 24 15-kg boxes from one pallet to another (4 layers of boxes; 6 boxes/layer: 3 in the front row, 3 in the back) at a self-determined pace and then at an imposed pace of 9 lifts/min for a total of 240 lifts. The underlying idea was to set a challenging task that would force the experts to use their skills. Full-body 3D kinematic data were collected as well as external foot forces. A dynamic 3D linked segment model was used to estimate the net moments at L5/S1. The results clearly show that the experts bent their lumbar spine less (10° less) and were closer (4 cm) to the box than novice workers. Knee flexions were similar in both groups except when the box was lifted from ground level (expert ≈ 71°, novice ≈ 48°). The peak resultant moment was not statistically different (expert = 168 Nm, novice = 184 Nm) although experts had lower values on average than novices when lifting heights (and deposit heights) of the boxes increased. Therefore, experts differed from novice workers mostly in the posture-related variables. These differences are especially important to consider when the box is located on the ground, as the back posture and back loading are then at their greatest magnitude and could have a major impact on the distribution of internal forces on the spine."
s0003687013001348,"We have proposed a method in which the speed and accuracy can be integrated into one metric of human performance. This was achieved by designing a performance task in which the subjects receive feedback on their performance by informing them whether they have committed errors, and if did, they can only proceed when the errors are corrected. Traditionally, the tasks are presented without giving this feedback and thus the speed and accuracy are treated separately. The method was examined in a subjective experiment with thermal environment as the prototypical example. During exposure in an office, 12 subjects performed tasks under two thermal conditions (neutral & warm) repeatedly. The tasks were presented with and without feedback on errors committed, as outlined above. The results indicate that there was a greater decrease in task performance due to thermal discomfort when feedback was given, compared to the performance of tasks presented without feedback."
s0003687013001427,"The interpretation of way-finding symbols for healthcare facilities in a multicultural community was assessed in a cross-sectional study. One hundred participants recruited from Al Ain city in the United Arab Emirates were asked to interpret 28 healthcare symbols developed at Hablamos Juntos (such as vaccinations and laboratory) as well as 18 general-purpose symbols (such as elevators and restrooms). The mean age was 27.6 years (16–55 years) of whom 84 (84%) were females. Healthcare symbols were more difficult to comprehend than general-purpose signs. Symbols referring to abstract concepts were the most misinterpreted including oncology, diabetes education, outpatient clinic, interpretive services, pharmacy, internal medicine, registration, social services, obstetrics and gynecology, pediatrics and infectious diseases. Interpretation rates varied across cultural backgrounds and increased with higher education and younger age. Signage within healthcare facilities should be tested among older persons, those with limited literacy and across a wide range of cultures."
s0003687013001452,"This study examined the separate effects of caffeine and menthol on cognition and mood during simulated firefighting in the heat. Participants (N = 10) performed three trials in a counterbalanced order, either with 400 mg caffeine, menthol lozenges, or placebo. The simulated firefighting consisted of 2 bouts of 20-min treadmill exercise and one bout of 20-min stepping exercise in the heat with two brief 15-min rest periods between each exercise phase. Exercise induced significant dehydration (>3%) and elevated rectal temperature (>38.9 °C), for all three conditions. Neither caffeine nor menthol reduced perceived exertion compared to placebo (p > 0.05). Mood ratings (i.e., alertness, hedonic tone, tension) significantly deteriorated over time (p < 0.05), but there was no difference among the three conditions. Simple reaction time, short-term memory, and retrieval memory did not alter with treatments or repeated evaluations. Reaction accuracy from a math test remained unchanged throughout the experimental period; reaction time from the math test was significantly faster after exposure to the heat (p < 0.05). It is concluded that, exhaustive exercise in the heat severely impacted mood, but minimally impacted cognition. These treatments failed to show ergogenic benefits in a simulated firefighting paradigm in a hot environment."
s0003687013001476,"Ski boot quality is determined by mechanical properties and comfort. Comfort is strongly affected by cold feet. The purpose of this study was to determine the microclimate in ski boots. Climate chamber tests with five male subjects and field tests with two male subjects were conducted. Temperature and relative humidity were measured using four sensors placed on the foot and one on the liner. Absorbed water in liners and socks was measured with a precision balance. The subjects gave subjective ratings for comfort. The toe sensor temperature dropped below 20 °C at an ambient temperature of 0 °C, −10 °C, and −20 °C. Relative humidity values at the foot were as high as 78% in the climate chamber and 93% in the field. Water absorption in socks and liners ranged from 4 to 10 g in the climate chamber and 19 to 45.5 g in the field. The results reveal the importance of keeping the feet and in particular the toes warm during skiing. One possible improvement may be to construct the liner so that sweat and melted snow are kept as far away as possible from the foot. Liner material with high water absorption capacity and hydrophobic socks were suggested to prevent wet feet."
s0003687013001488,"Career visual searchers such as radiologists and airport security screeners strive to conduct accurate visual searches, but despite extensive training, errors still occur. A key difference between searches in radiology and airport security is the structure of the search task: Radiologists typically scan a certain number of medical images (fixed objective), and airport security screeners typically search X-rays for a specified time period (fixed duration). Might these structural differences affect accuracy? We compared performance on a search task administered either under constraints that approximated radiology or airport security. Some displays contained more than one target because the presence of multiple targets is an established source of errors for career searchers, and accuracy for additional targets tends to be especially sensitive to contextual conditions. Results indicate that participants searching within the fixed objective framework produced more multiple-target search errors; thus, adopting a fixed duration framework could improve accuracy for career searchers."
s000368701300149x,"Visually induced motion sickness (VIMS) is a well-known side-effect in virtual environments or simulators. However, effective behavioral countermeasures against VIMS are still sparse. In this study, we tested whether music can reduce the severity of VIMS. Ninety-three volunteers were immersed in an approximately 14-minute-long video taken during a bicycle ride. Participants were randomly assigned to one of four experimental groups, either including relaxing music, neutral music, stressful music, or no music. Sickness scores were collected using the Fast Motion Sickness Scale and the Simulator Sickness Questionnaire. Results showed an overall trend for relaxing music to reduce the severity of VIMS. When factoring in the subjective pleasantness of the music, a significant reduction of VIMS occurred only when the presented music was perceived as pleasant, regardless of the music type. In addition, we found a gender effect with women reporting more sickness than men. We assume that the presentation of pleasant music can be an effective, low-cost, and easy-to-administer method to reduce VIMS."
s0003687013001506,"Researchers have pointed out that people with physical disabilities find it difficult to obtain suitable clothing. In this study a set of wheelchair user oriented functional clothing was designed. Attention was paid to the wheelchair users' daily living activities related with clothing. An evaluating system combined with sports tournament and rehabilitation medicine was introduced to assess the new designed clothing. Six wheelchair users (3 males and 3 females) were invited to wear the clothing. A set of normal functional clothing was employed as a comparison (Control). The time required to complete three different daily living activities, i.e. dressing and undressing, going to toilet and bathing were recorded. Results showed that with the new clothing wheelchair users' competence of managing toilet was increased by 52.9%. The time needed for toilet was reduced by 45.7%. Their capability of managing dressing and undressing was improved by 24.6%. The study indicated that the newly designed clothing could facilitate wheelchair users' daily living activities related with clothing."
s0003687013001518,"Flashover training (FOT) for firefighters is a simulation of the flashover phenomenon under controlled conditions. This study assessed arterial blood pressure (BP) and its response to thermal and physical strain during FOT in 48 professional and 18 volunteer firefighters.A high prevalence of obesity (27%), basal hypertensive (53%) and prehypertensive (33%) BP values was found. FOT induced mild hyperthermia and physical strain (average increase of 1.1 °C in tympanic temperature and 61% of the maximal heart beat predicted for age). Compared to professional firefighters, FOT in the volunteers induced a higher increase in pulse (P = 0.050) and tympanic temperature (P = 0.025). Systolic BP did not vary significantly, and diastolic BP slightly decreased in both groups.Results confirm that FOT induced only physiological cardiovascular responses to thermal and physical strain in firefighters. High prevalence of obesity and elevated BP values indicate the need for better physical fitness and BP control among firefighters."
s000368701300152x,"The aim of the present study was to assess the activity levels of the sternocleidomastoid muscle and upper trapezius muscle during static postures under controlled and standardized conditions, and to determine whether the muscle activity differed between sexes. Electromyographic (EMG) activity was recorded unilaterally from the sternocleidomastoid and upper trapezius muscle in 17 participants whilst they were performing various postural tasks. EMG amplitude was measured by the root mean square values of the raw signals and normalized to peak maximum contractile values for each muscle (%MVC). The intensity of muscle activity was ranked as light (<3%MVC), moderate (3%MVC ≤ EMG ≤ 8%MVC), and substantial (>8%MVC). During most tasks the two muscles contracted light to moderately. Head leaning and shoulder shrugging postures yielded substantial muscle activity in both muscles. Muscle activity did not differ significantly between male and female participants (F = 3.1; p = 0.078). Our findings provided normative values, which will enhance future studies of muscle activity during work in a natural, unrestrained environment."
s0003687013001531,The present work is dedicated to the study of cold thermal environments in food distribution industrial units through a subjective assessment based on an individual questionnaire which aims to describe the working conditions of employees often exposed to cold. The survey was carried out in Portugal and the sample consists of 1575 valid responses obtained in 61 industrial units. The results show that the food distribution activity sector is characterized by a female population (78.1%) and by a young work force (63.4% of the workers are less than 35 years old). Despite the availability of cold protective clothing (52.8% of the workers indicate one garment) its characteristics require improvements. In addition almost 1/3 of the respondents consider the thermal environment cold and 79.6% of the workers report that working in the cold is harder in wintertime. The results also highlight that 37.3% of the workers report having health problems.
s0003687013001555,"Huge areas of work are still done manually and require the usages of different powered and non-powered hand tools. In order to increase the user performance, satisfaction, and lower the risk of acute and cumulative trauma disorders, several researchers have investigated the sizes and shapes of tool-handles. However, only a few authors have investigated tool-handles' materials for further optimising them. Therefore, as presented in this paper, we have utilised a finite-element method for simulating human fingertip whilst grasping tool-handles. We modelled and simulated steel and ethylene propylene diene monomer (EPDM) rubber as homogeneous tool-handle materials and two composites consisting of EPDM rubber and EPDM foam, and also EPDM rubber and PU foam. The simulated finger force was set to obtain characteristic contact pressures of 20 kPa, 40 kPa, 80 kPa, and 100 kPa. Numerical tests have shown that EPDM rubber lowers the contact pressure just slightly. On the other hand, both composites showed significant reduction in contact pressure that could lower the risks of acute and cumulative trauma disorders which are pressure-dependent. Based on the results, it is also evident that a composite containing PU foam with a more evident and flat plateau deformed less at lower strain rates and deformed more when the plateau was reached, in comparison to the composite with EPDM foam. It was shown that hyper-elastic foam materials, which take into account the non-linear behaviour of fingertip soft tissue, can lower the contact pressure whilst maintaining low deformation rate of the tool-handle material for maintaining sufficient rate of stability of the hand tool in the hands. Lower contact pressure also lowers the risk of acute and cumulative trauma disorders, and increases comfort whilst maintaining performance."
s0003687013001579,"The past few years has seen a change in the size of newspapers, with publishers moving to a smaller size format. Five ‘standard’ newspaper sizes are used in different countries: Broadsheet, Rhensch, Tabloid, Tall Tabloid and Berliner. These papers vary in both width and height of pages and hence there are implications for human reading comfort, which may be dependent on reading location such as on a lounge chair or on a train. Experiments were carried out to determine preferences for the different sizes and to relate these preferences to the geometric characteristics of the newspapers. For both comfortable and cramped/uncomfortable reading conditions, the rank order of preference for paper types was, from least to most-preferred, Broadsheet, Rhensch, Berliner, Tall Tabloid and Tabloid. Preferences were much stronger when determined in cramped/uncomfortable reading conditions, where most comparisons were significantly different. There was good correlation between participant ratings on several scales and preference, where most factors were related to comfort of holding and controlling the paper."
s0003687013001671,"This study assessed the capacity of a musculoskeletal model to predict the relative muscle activation changes as a function of the workbench height and the movement direction during a simulated meat cutting task. Seven subjects performed a cutting task alternating two cutting directions for 20 s at four different workbench heights. Kinematics, electromyography (EMG), and cutting force data were collected and used to drive a musculoskeletal model of the shoulder girdle. The model predicted the muscle forces exerted during the task. Both the recorded and computed activation of the muscles was then compared by means of cross-correlation and by comparison of muscle activation trends with respect to the workstation parameters, i.e. cutting direction and workbench height. The results indicated that cutting movements involving arm flexion are preferable to movement requiring internal arm rotation and abduction. The optimal bench height for meat cutting tasks should be between 20 and 30 cm below the worker's elbow height. The present study underlines a beneficial use of musculoskeletal models for adjusting workstation parameters."
s0003687013001695,"This paper describes two experiments designed to (1) ascertain whether the way in which architectural plans are displayed on a computer screen influences the quality of their correction by humans, and (2) identify the visual exploration strategies adopted in this type of task. Results of the first “spot the difference” experiment showed that superimposing the plans yielded better error correction performances than displaying them side by side. Furthermore, a sequential display mode, where the second plan only gradually appeared on the screen, improved error search effectiveness. In the second experiment, eye movement recordings revealed that superimposition increased plan comparison efficiency by making it easier to establish coreference between the two sources of information. The improvement in effectiveness in the sequential condition was shown to be linked to the attentional guidance afforded by this display mode, which helped users to make a more thorough exploration of the plans."
s0003687013001701,"Heavy backpacks are often used in extreme environments, for example by military during combat, therefore completion of tasks quickly and efficiently is of operational relevance. The purpose of this study was to quantify hemodynamic parameters (brachial artery Doppler and microvascular flow by photoplethysmography; tissue oxygenation by near-infrared spectroscopy; arterial oxygen saturation by pulse oximeter) and sensation in upper extremities and hands (Semmes-Weinstein monofilament test and 2-point discrimination test) while wearing a loaded backpack (12 kg) in healthy adults for 10 min. All values were compared to baseline before wearing a backpack. Moderate weight loaded backpack loads significantly decreased upper extremity sensation as well as all macrovascular and microvascular hemodynamic values. Decreased macrovascular and microvascular hemodynamics may produce neurological dysfunction and consequently, probably affect fine motor control of the hands."
s0003687013001713,"The purpose of the present study was to examine the effect of positive and negative affective states on comprehension and hazard perception of warning pictorials. The International Affective Picture System (IAPS) was used to manipulate the affective states of sixty male undergraduate and graduate student participants. We used sixteen standard industrial warning pictorials, which were representative of a variety of industries, to assess changes in comprehension and hazard perception. Participants in the positive affect condition perceived greater hazards from the warning signs than those in the neutral affect condition or the negative affect condition. Post-hoc analyses confirmed this finding. We discuss implications for warning pictorials and future research."
s0003687013001786,"Miniature keyboard design is motivated by the need for smaller mobile devices with maximum user display area. Thus, this study developed four miniature keyboard designs which varied from conventional keyboard design in terms of their configuration and layout. The purpose of this study was to evaluate the input speed, accuracy, comfort, likability and learnability of four miniature keyboards. Sixteen fast typists and 16 slow typists were recruited to use these four miniature keyboards. The results showed that the rectangular-shaped keycaps of 3 letters with separated keycaps of numerals obtained the best proficiency speed, highest comfort and greatest user acceptance among the four keyboards. Moreover, the keyboards with square-shaped keycaps had better input accuracy compared to rectangular-shaped keycaps. Finally, the proposed keyboards were smaller than current keyboards, and the performance for all of the small keyboards was worse than that of the conventional keyboard."
s0003687013001798,"The objective of this study was to explore the role of objects in integrating ergonomic knowledge in engineering design processes. An engineering design case was analyzed using the theoretical concepts of boundary objects and intermediary objects: Boundary objects facilitate collaboration between different knowledge domains, while the aim of an intermediary object is to circulate knowledge and thus produce a distant effect. Adjustable layout drawings served as boundary objects and had a positive impact on the dialog between an ergonomist and designers. An ergonomic guideline document was identified as an intermediary object. However, when the ergonomic guidelines were circulated in the design process, only some of the guidelines were transferred to the design of the sterile processing plant. Based on these findings, recommendations for working with objects in design processes are included."
s0003687013001804,"Driver distraction is a factor that is heavily involved in traffic crashes. With in-vehicle devices like navigation systems or mobile phones on the rise, the assessment of their potential to distract the driver has become a pressing issue. Several easy-to-use methods have been developed in recent years to allow for such an assessment in the early stages of product development. One of these methods is the lane change task (LCT), a simple driving simulation in which the driver has to change lanes as indicated by different signs along the road. Although the LCT is an ISO sanctioned procedure, there are still open questions. One issue are learning effects which have been found in previous studies and which have the potential to compromise the comparability of test results. In this paper, we present results on two experiments that further explored the effect of previous experience on LCT and secondary task performance. The results confirm that learning effects occur when combining the LCT with a realistic secondary task. Also, we found evidence for the transfer of learning from one secondary task to another to some degree, provided that the two tasks are sufficiently similar."
s0003687013001828,"Personal Health Records (PHR) are electronic applications for individuals to access, manage and share their health information in a secure environment. The goal of this study was to evaluate the usefulness and usability of a Web-based PHR technology aimed at improving preventive care, from both the patients' and primary care providers' perspectives. We conducted a multi-method descriptive study that included direct observations, concurrent think-aloud, surveys, interviews and focus groups in a suburban primary care clinic. Patients found the tailored health recommendations useful and the PHR easy to understand and use. They also reported asking useful health-related questions to their physicians because of using the system. Generally, care providers were interested in using the system due to its useful content and impact on patient activation. Future successful systems should be better integrated with hospital records; put more emphasis on system security; and offer more tailored health information based on comprehensive health databases."
s000368701300183x,"The aim of this study was to develop a more efficient (i.e. shortened) protocol for hand function capacity evaluation and to test the agreement of the protocol compared to the original protocol. 643 Healthy subjects performed tests for hand function. Agreement between two shortened protocols was compared with an existing protocol. The original protocol was performed once and the proposed shortened protocol differed in the number of trials which were reduced by statistical elimination. Agreement was determined with Intraclass Correlation Coefficients (ICC) and Limits of Agreement (LoA). Excellent ICCs (≥0.91) were observed in all proposed protocols except for the one trial purdue pegboard test protocol. For all tests of hand function, shorter protocols are valid to determine hand function. For Tip Pinch Strength testing, Palmar Pinch Strength testing and the Purdue Pegboard test, a two-trial protocol is recommended, because the LoA were considerable, which could affect decision-making with regards to hand capacity. For the Hand Grip strength test, the Key Pinch Strength test and the Complete Minnesota Dexterity Test, a one-trial protocol is recommended, because the LoA were acceptable. It was concluded that for healthy subjects, this shorter protocol is a reliable measure. Further testing of the short form hand FCE protocols should be completed on patients with disabling conditions prior to widespread use of these protocols among clinical samples."
s0003687013001841,"Whole-body vibration has been identified as a stressor to supine patients during medical transportation. The transmissibility between the input platform acceleration and the output acceleration of the head, sternum, pelvis, head-sternum, and pelvis-sternum of eight supine subjects were investigated. Vibration files were utilized in the fore-aft, lateral, and vertical directions. The power spectral density across the bandwidth of 0.5–20 Hz was approximately flat for each file. A comparison between a baseline rigid-support and a support with a long spinal board strapped to a litter has shown that the latter has considerable effects on the transmitted motion in all directions with a double magnification in the vertical direction around 5 Hz. The results also showed that the neck-collar has increased the relative head-sternum flexion–extension because of the input fore-aft vibration, but reduced the head-sternum extension–compression due to the input vertical vibration."
s0003687013001853,"This paper provides a case study of Signal Detection Theory (SDT) as applied to a continuous monitoring dual-task environment. Specifically, SDT was used to evaluate the independent contributions of sensitivity and bias to different qualitative gauges used in process control. To assess detection performance in monitoring the gauges, we developed a Time Window-based Human-In-The-Loop (TWHITL) simulation bed. Through this test bed, we were able to generate a display similar to those monitored by console operators in oil and gas refinery plants. By using SDT and TWHITL, we evaluated the sensitivity, operator bias, and response time of flow, level, pressure, and temperature gauge shapes developed by Abnormal Situation Management® (ASM®) Consortium (www.asmconsortium.org). Our findings suggest that display density influences the effectiveness of participants in detecting abnormal shapes. Furthermore, results suggest that some shapes elicit better detection performance than others."
s0003687013001865,"The present study looked at the effect of a helmet on cognitive performance under demanding conditions, so that small effects would become more detectible. Nineteen participants underwent 30 min of continuous visual vigilance, tracking, and auditory vigilance (VTT + AVT), while seated in a warm environment (27.2 (±0.6) °C, humidity 41 (±1)%, and 0.5 (±0.1) m s−1 wind speed). The participants wore a helmet in one session and no helmet in the other, in random order. Comfort and temperature perception were measured at the end of each session. Helmet-wearing was associated with reduced comfort (p = 0.001) and increased temperature perception (p < 0.001), compared to not wearing a helmet. Just one out of nine cognitive parameters showed a significant effect of helmet-wearing (p = .032), disappearing in a post-hoc comparison. These results resolve previous disparate studies to suggest that, although helmets can be uncomfortable, any effect of wearing a helmet on cognitive performance is at worst marginal."
s0003687013001877,"Thermoregulatory models have been used in the military to quantify probabilities of individuals' thermal-related illness/injury. The uses of the models have diversified over the past decade. This paper revisits an overall view of selected thermoregulatory models used in the U.S. military and provides examples of actual practical military applications: 1) the latest military vehicle designed with armor and blast/bulletproof windows was assessed to predict crews' thermal strains levels inside vehicles under hot environment (air temperature [Ta]: 29–43 °C, dew point: 13 °C); 2) a military working dog (MWD) model was developed by modifying existing human thermoregulatory models with canine physical appearance and physiological mechanisms; 3) thermal tolerance range of individuals from a large military group (n = 100) exposed to 35 °C/40% relative humidity were examined using thermoregulatory modeling and multivariate statistical analyses. Model simulation results assist in the decisions for the strategic planning and preventions of heat stress."
s0003687013001889,"The paradoxical behaviour of a new command and control concept called Network Enabled Capability (NEC) provides the motivation for this paper. In it, a traditional hierarchical command and control organisation was pitted against a network centric alternative on a common task, played thirty times, by two teams. Multiple regression was used to undertake a simple form of time series analysis. It revealed that whilst the NEC condition ended up being slightly slower than its hierarchical counterpart, it was able to balance and optimise all three of the performance variables measured (task time, enemies neutralised and attrition). From this it is argued that a useful conceptual response is not to consider NEC as an end product comprised of networked computers and standard operating procedures, nor to regard the human system interaction as inherently stable, but rather to view it as a set of initial conditions from which the most adaptable component of all can be harnessed: the human."
s0003687013001890,"This study investigates the characteristics of eye movements during a camouflaged target search task. Camouflaged targets were randomly presented on two natural landscapes. The performance of each camouflage design was assessed by target detection hit rate, detection time, number of fixations on display, first saccade amplitude to target, number of fixations on target, fixation duration on target, and subjective ratings of search task difficulty. The results showed that the camouflage patterns could significantly affect the eye-movement behavior, especially first saccade amplitude and fixation duration, and the findings could be used to increase the sensitivity of the camouflage assessment. We hypothesized that the assessment could be made with regard to the differences in detectability and discriminability of the camouflage patterns. These could explain less efficient search behavior in eye movements. Overall, data obtained from eye movements can be used to significantly enhance the interpretation of the effects of different camouflage design."
s0003687013001956,"The purpose of this study was to understand the cognitive processes underlying nurses' decision to interrupt other nurses. The Institute of Medicine (2000) reported that interruptions are likely contributors to medical errors. Unfortunately, the research to date has been quite homogenous, focusing only on the healthcare provider being interrupted, ignoring the true complexities of interruptions. This study took a socio-technical approach being the first to examine interruptions from the viewpoint of the interrupting nurse. Over 15 h of observations and 10 open-ended interviews with expert nurses in a Neuroscience Surgical Intensive Care Unit were conducted. It was found that nurses conduct a quick cost-benefit assessment to determine the interruptibility of other nurses and whether an interruption is value-added vs. non-value added. To complete the assessment, nurses consider several conditional factors related to the interruptee, the interrupter, and the nature of the interruption content, and different potential consequences of the interruption."
s0003687013002020,"This study aimed at identifying the roll motion parameters of a motorcycle simulator prototype. Experienced motorcyclists tuned the angular physical movement of the mock-up and that of the visual scene to achieve an optimal riding experience during curves. The participants exceeded the rolling angles that would be required in real-world riding, while avoiding leaning the mock-up beyond 10°. In addition, they were more influenced by the speed of the virtual motorcycle than by road curvature, especially in a wide field of view. Heterogeneity was found in the roll applied to the visual scene. The overall patterns suggest that at least when washout is not applied to remove the side forces that in real-world riding are compensated by a centrifugal force, greater roll of the visual at the expense of the mock-up is mandatory to avoid performance biases that might be enhanced due to fear of falling off the simulator. Future roll motion models must take into consideration factors such as riding postures, which might not only influence the forces operating on the rider-motorcycle system, but also how motorcyclists perceive the visual world."
